 dmw idm ivc net ml theory
"Aaron Atwater" 0 0 0 1 0 0
"Aaron B. Adcock" 1 0 0 0 0 0
"Aaron Bernstein" 0 0 0 0 0 23
"Aaron Burry" 0 0 2 0 0 0
"Aaron C. Courville" 0 0 3 0 37 0
"Aaron C. Wilson" 1 0 0 0 0 0
"Aaron Cahn" 1 0 0 2 0 0
"Aaron Call" 1 0 0 0 0 0
"Aaron Chan" 0 0 1 0 0 0
"Aaron Clauset" 2 0 0 0 1 1
"Aaron Cote" 0 0 0 0 0 1
"Aaron D'Souza" 0 0 0 0 3 0
"Aaron D. Jaggard" 0 0 0 3 0 0
"Aaron D. Striegel" 0 0 0 1 0 0
"Aaron Davidson" 0 1 0 0 0 0
"Aaron Defazio" 0 0 1 0 8 0
"Aaron Drake" 0 0 0 2 0 0
"Aaron E. Tenney" 1 0 0 0 0 0
"Aaron Elkiss" 0 1 0 0 0 0
"Aaron F. Bobick" 0 0 16 0 0 0
"Aaron Feng" 1 0 0 0 0 0
"Aaron Fenster" 0 0 2 0 0 0
"Aaron Flores" 3 0 0 0 0 0
"Aaron Gember" 0 0 0 5 0 0
"Aaron Gember-Jacobson" 0 0 0 6 0 0
"Aaron Halfaker" 2 0 0 0 0 0
"Aaron Henry Potechin" 0 0 0 0 0 1
"Aaron Hertzmann" 1 0 7 0 6 0
"Aaron Huber" 0 1 0 0 0 0
"Aaron Hunt" 0 1 0 0 0 0
"Aaron J. Elmore" 0 10 0 0 1 0
"Aaron J. Gruber" 0 0 0 0 2 0
"Aaron J. Havens" 0 0 0 0 1 0
"Aaron Johnson" 1 0 0 1 0 0
"Aaron Klein" 0 0 0 0 6 0
"Aaron Koch" 0 0 0 0 0 1
"Aaron Koehl" 1 0 0 0 0 0
"Aaron Lawson" 0 0 1 0 0 0
"Aaron Leon Roth" 0 0 0 0 0 1
"Aaron Loh" 0 0 1 0 0 0
"Aaron Lou" 0 0 0 0 2 0
"Aaron M. Cohen" 1 0 0 0 0 0
"Aaron M. Smalter" 1 0 0 0 0 0
"Aaron Maschinot" 0 0 1 0 1 0
"Aaron Michaux" 0 0 1 0 0 0
"Aaron Mishkin" 0 0 0 0 2 0
"Aaron Morris" 0 0 0 0 1 0
"Aaron N. Parks" 0 0 0 5 0 0
"Aaron Nech" 0 0 1 0 0 0
"Aaron Netz" 0 0 1 0 0 0
"Aaron P. Shon" 0 0 0 0 2 0
"Aaron Potechin" 0 0 0 0 1 7
"Aaron Q. Li" 1 0 0 0 0 0
"Aaron Roth 0001" 0 0 0 0 18 22
"Aaron S. Crandall" 1 0 0 0 0 0
"Aaron Sarna" 0 0 3 0 1 0
"Aaron Schein" 1 0 0 0 4 0
"Aaron Schild" 0 0 0 0 0 6
"Aaron Schulman" 0 0 0 11 0 0
"Aaron Sidford" 0 0 0 0 24 33
"Aaron Sipser" 0 1 0 0 0 0
"Aaron Sonabend W." 0 0 0 0 1 0
"Aaron Staple" 1 0 0 0 0 0
"Aaron Striegel" 0 0 0 9 0 0
"Aaron Tuor" 0 0 1 0 0 0
"Aaron Voelker" 0 0 0 0 1 0
"Aaron W. Dennis" 0 0 0 0 1 0
"Aaron Walters" 0 0 0 1 0 0
"Aaron Wetzler" 0 0 2 0 0 0
"Aaron Williams" 0 0 0 0 0 3
"Aaron Wilson" 0 0 0 0 2 0
"Aaron Yi Ding" 0 0 0 11 0 0
"Aaron Yong" 0 1 0 0 0 0
"Aaron Zweig" 0 0 0 0 1 0
"Aart J. C. Bik" 0 1 0 0 0 0
"Aarthi Sundaram" 0 0 0 0 0 2
"Aarti Gupta" 0 0 0 4 0 0
"Aarti Sathyanarayana" 2 0 0 0 0 0
"Aarti Singh" 0 0 0 1 27 0
"Aarushi Sarbhai" 0 0 0 1 0 0
"Aasa Feragen" 0 0 3 0 3 0
"Aashay Mittal" 1 0 0 0 0 0
"Aashish Dhungana" 0 0 0 1 0 0
"Aashish Sharma" 0 0 1 0 0 0
"Aasish Pappu" 4 0 0 0 0 0
"Aastha Jain" 1 0 1 0 0 0
"Aastha Madaan" 3 0 0 0 0 0
"Aatish Kishan Varma" 0 0 0 1 0 0
"Aayush Bansal" 0 0 3 0 0 0
"Aayush Moroney" 1 0 0 0 0 0
"Aayush Prakash" 0 0 1 0 0 0
"Aayush Sharma" 0 0 1 0 0 0
"Aba-Sah Dadzie" 3 0 0 0 0 0
"Abbas Abdolmaleki" 0 0 0 0 3 0
"Abbas Bazzi" 0 0 0 0 1 2
"Abbas Bigdeli" 0 0 1 0 1 0
"Abbas Bradai" 0 0 0 3 0 0
"Abbas Edalat" 0 0 0 0 1 2
"Abbas El Gamal" 0 0 0 4 0 0
"Abbas Jamalipour" 0 0 0 3 0 0
"Abbas Javadtalab" 0 0 1 0 0 0
"Abbas Kazerouni" 0 0 0 0 1 0
"Abbas Mehrabian" 0 0 0 0 2 0
"Abbas Rafii" 0 0 4 0 0 0
"Abbas Razaghpanah" 0 0 0 5 0 0
"Abbas Sadat" 0 0 1 0 0 0
"Abbas Z. Kouzani" 1 0 0 0 0 0
"Abbas Zaidi" 0 0 0 0 1 0
"Abby Stylianou" 0 0 1 0 0 0
"Abby Van Soest" 0 0 0 0 1 0
"Abd El Rahman Shabayek" 0 0 1 0 0 0
"Abdalah Hilmia" 0 0 0 2 0 0
"Abdalghani Abujabal" 4 0 0 0 0 0
"Abdallah A. Khreishah" 0 0 0 1 0 0
"Abdallah Benzine" 0 0 1 0 0 0
"Abdallah Khreishah" 0 0 0 7 0 0
"Abdallah S. Abdallah" 0 0 0 1 0 0
"Abdallah Saffidine" 0 0 0 0 0 1
"Abdallah Salama" 0 3 0 0 0 0
"Abdel-rahman Mohamed" 0 0 0 0 3 0
"Abdelaziz Djelouah" 0 0 3 0 0 0
"Abdelbasset Massouri" 0 0 0 1 0 0
"Abdelberi Chaabane" 0 0 0 2 0 0
"Abdelhamid Bouchachia" 1 0 0 0 0 0
"Abdelhamid Zemirline" 0 0 0 0 0 1
"Abdelkader Baggag" 1 0 0 0 0 0
"Abdelkader Hajjaoui" 0 0 0 1 0 0
"Abdelkader Outtagarts" 0 0 0 1 0 0
"Abdelkrim Ouafi" 0 0 1 0 0 0
"Abdellali Kelil" 1 0 0 0 0 0
"Abdelmadjid Bouabdallah" 0 0 0 2 0 0
"Abdelmalik Taleb-Ahmed" 0 0 1 0 0 0
"Abdelrahman Abdelhamed" 0 0 3 0 0 0
"Abdelrahman Asal" 0 0 0 1 0 0
"Abdelrahman Eldesokey" 0 0 1 0 0 0
"Abdelrahman Kamel" 0 0 1 0 0 0
"Abdelrahman Mohamed" 0 0 0 0 2 0
"Abdelrehim H. Ahmed" 0 0 2 0 0 0
"Abdelsalam Helal" 0 2 0 0 0 0
"Abdeltawab M. Hendawi" 0 1 0 0 0 0
"Abdenour Hadid" 0 0 3 0 0 0
"Abderrahim Benmoussa" 1 0 0 0 0 0
"Abderrahmane Kheddar" 0 0 1 0 0 0
"Abderrahmane Rahiche" 0 0 1 0 0 0
"Abderrahmen Kammoun" 1 0 0 0 0 0
"Abderrahmen Mtibaa" 0 0 0 6 0 0
"Abdeslam Boularias" 0 0 0 0 4 0
"Abdo Gaber" 0 0 0 1 0 0
"Abdol-Hossein Esfahanian" 3 0 0 1 0 0
"Abdou Youssef" 0 0 1 0 0 0
"Abduallah Mohamed" 0 0 1 0 0 0
"Abdul Basit Dogar" 0 0 0 1 0 0
"Abdul Fatir Ansari" 0 0 1 0 0 0
"Abdul Jabbar" 0 0 0 2 0 0
"Abdul Kabbani" 0 0 0 2 0 0
"Abdul Kader Kabbani" 0 0 0 1 0 0
"Abdul Lateef Haamid" 0 0 0 1 0 0
"Abdul Mannan" 1 0 0 0 0 0
"Abdul Muntakim Rafi" 0 0 1 0 0 0
"Abdul Nurunnabi" 1 0 0 0 0 0
"Abdul Q. Munir" 0 1 0 0 0 0
"Abdul Quamar" 0 5 0 0 0 0
"Abdul Rahman" 1 0 0 0 0 0
"Abdul Rahman Aljadhai" 0 0 0 1 0 0
"Abdul Salam" 0 0 0 2 0 0
"Abdul Serwadda" 0 0 1 0 0 0
"Abdul Wasay" 0 1 0 1 0 0
"Abdul-Saboor Sheikh" 0 0 0 0 3 0
"Abdulah Fawaz" 1 0 0 0 0 0
"Abdulfatai Popoola" 1 0 0 0 0 0
"Abdulhakim Ali Qahtan" 2 2 0 0 0 0
"Abdulhamid Adebayo" 0 0 0 1 0 0
"Abduljalil Mohamed" 1 0 0 0 0 0
"Abdulkadir Canatar" 0 0 0 0 1 0
"Abdulla Alasaadi" 0 0 0 1 0 0
"Abdulla Alwabel" 0 0 0 1 0 0
"Abdullah Al-Dhelaan" 0 0 0 1 0 0
"Abdullah Al-Dujaili" 0 0 0 0 1 0
"Abdullah Al-Hamdani" 0 1 0 0 0 0
"Abdullah Alhussainy" 0 0 0 1 0 0
"Abdullah Alshehri 0001" 1 0 0 0 0 0
"Abdullah Celik" 0 0 0 0 1 0
"Abdullah Haroon Rasheed" 0 0 1 0 0 0
"Abdullah Mueen" 21 1 0 0 0 0
"Abdullah Muzahid" 0 0 0 0 1 0
"Abdullah Rashwan" 0 0 0 0 1 0
"Abdullah Uz Tansel" 1 0 0 0 0 0
"Abdulmohsen Algarni" 1 0 0 0 0 0
"Abdulqawi Saif" 0 0 0 1 0 0
"Abdulrahman Alhamali" 1 0 0 0 0 0
"Abdulrahman Alhothaily" 0 0 0 1 0 0
"Abdulrahman Kaitoua" 0 1 0 0 0 0
"Abdur Chowdhury" 3 1 0 0 0 0
"Abdur Rahman Al-Ahmadi" 0 0 0 1 0 0
"Abdurrahman Ghanem" 1 1 0 0 0 0
"Abdurrahman Yasar" 1 0 0 0 0 0
"Abdussalam Alawini" 0 1 0 0 0 0
"Abdussalam Bannur" 1 0 0 0 0 0
"Abe Davis" 0 0 4 0 0 0
"Abe Ittycheriah" 1 0 0 0 0 0
"Abed Malti" 0 0 3 0 0 0
"Abedelaziz Mohaisen" 1 0 0 3 0 0
"Abeer Javed" 0 0 0 1 0 0
"Abel Dasylva" 0 0 0 1 0 0
"Abel Gonzalez-Garcia" 0 0 5 0 1 0
"Abel N. Kho" 1 0 0 0 0 0
"Abena Primo" 0 0 1 0 0 0
"Aber Whitcomb" 0 1 0 0 0 0
"Abha Ahuja" 0 0 0 2 0 0
"Abhay Harpale" 1 0 0 0 1 0
"Abhay K. Parekh" 0 0 0 1 0 0
"Abhay Kumar Jha" 0 1 0 0 1 0
"Abhay Kumar Yadav" 0 0 0 0 1 0
"Abhay Mehta" 1 1 0 0 0 0
"Abhay Pasupathy" 0 0 1 0 0 0
"Abhay Prakash" 1 0 0 0 0 0
"Abhay Sheel Anand" 0 0 0 1 0 0
"Abhay Singh" 0 0 0 0 1 0
"Abhay Venkatesh" 0 0 1 0 0 0
"Abhi Shelat" 0 0 0 0 0 6
"Abhigyan Sharma" 0 0 0 2 0 0
"Abhijat Sinha" 1 0 0 0 0 0
"Abhijeet Bhorkar" 0 0 0 1 0 0
"Abhijeet Ghosh" 0 0 2 0 1 0
"Abhijin Adiga" 2 0 0 1 1 0
"Abhijit A. Patil" 1 0 0 0 0 0
"Abhijit Anand" 1 0 0 0 0 0
"Abhijit Bendale" 0 0 5 0 0 0
"Abhijit Bhattacharya" 0 0 0 1 0 0
"Abhijit Bose" 0 0 0 2 0 0
"Abhijit K. Choudhury" 0 0 0 2 0 0
"Abhijit Kadlag" 0 1 0 0 0 0
"Abhijit Karmakar" 0 0 1 0 0 0
"Abhijit Kundu" 0 0 4 0 0 0
"Abhijit Mishra" 1 0 0 0 0 0
"Abhijit Mondal" 0 0 0 1 0 0
"Abhijit Pol" 0 6 0 0 0 0
"Abhijit S. Ogale" 0 0 1 0 0 0
"Abhijith Jayakumar" 0 0 0 0 1 0
"Abhijith Kashyap" 1 3 0 0 0 0
"Abhijith Punnappurath" 0 0 2 0 0 0
"Abhijnan Chakraborty" 5 0 0 1 0 0
"Abhik Kumar Das" 0 0 0 1 0 0
"Abhik Ray" 1 1 0 0 0 0
"Abhik Roychoudhury" 0 0 0 0 1 0
"Abhilash Dighe" 1 0 0 0 0 0
"Abhilash Jindal" 1 0 0 1 0 0
"Abhilash Srikantha" 0 0 1 0 0 0
"Abhimanu Kumar" 1 0 0 0 1 0
"Abhimanyu Das" 5 0 0 1 2 3
"Abhimanyu Dubey" 1 0 1 0 4 0
"Abhimanyu Gosain" 0 0 0 5 0 0
"Abhimanyu Talwar" 0 0 1 0 0 0
"Abhimitra Meka" 0 0 1 0 0 0
"Abhinand Menon" 1 0 0 0 0 0
"Abhinanda Sarkar" 0 0 0 1 0 0
"Abhinandan Das" 1 3 0 0 0 0
"Abhinandan Nath" 0 2 0 0 0 0
"Abhinandan S. Prasad" 0 0 0 2 0 0
"Abhinav Acharya" 0 0 0 1 0 0
"Abhinav Agarwalla" 0 0 2 0 0 0
"Abhinav Agrawal 0001" 0 0 0 0 1 0
"Abhinav Anand" 0 0 0 0 1 0
"Abhinav Bommireddi" 0 0 0 0 0 1
"Abhinav Dhall" 0 0 2 0 0 0
"Abhinav Goel" 0 0 1 0 0 0
"Abhinav Gupta" 0 0 0 1 0 0
"Abhinav Gupta 0001" 0 0 33 0 15 0
"Abhinav Gupta 0003" 0 4 0 0 0 0
"Abhinav Jain" 1 0 0 0 0 0
"Abhinav Kamra" 0 0 0 2 0 0
"Abhinav Katiyar" 1 0 0 0 0 0
"Abhinav Khattar" 1 0 0 0 0 0
"Abhinav Kumar" 1 0 0 1 0 0
"Abhinav Kumar 0004" 0 0 1 0 0 0
"Abhinav Mishra" 2 0 0 0 0 0
"Abhinav Parate" 0 0 0 2 1 0
"Abhinav Pathak" 1 0 0 2 0 0
"Abhinav Pundir" 1 0 0 0 0 0
"Abhinav Rastogi" 0 0 0 0 1 0
"Abhinav Shrivastava" 0 0 7 0 1 0
"Abhinav Sinha" 0 0 0 0 1 0
"Abhinav Srivastava" 1 0 0 2 0 0
"Abhinav Sunderrajan" 1 0 0 0 0 0
"Abhinav Verma" 0 0 0 0 5 0
"Abhinava Sadasivarao 0001" 0 0 0 1 0 0
"Abhineet Sawa" 0 0 1 0 0 0
"Abhiram G. Ranade" 0 0 0 0 0 2
"Abhiram Gnanasambandam" 0 0 0 0 1 0
"Abhiram Natarajan" 0 0 0 0 1 0
"Abhirup Chakraborty" 1 0 0 0 0 0
"Abhirup Das" 0 0 1 0 0 0
"Abhirup Ghosh" 0 0 0 1 0 0
"Abhirup Nath" 1 0 0 0 0 0
"Abhisek Dash" 0 0 0 1 0 0
"Abhisek Kundu" 0 0 0 0 1 0
"Abhisesh Silwal" 0 0 1 0 0 0
"Abhishek Agarwal" 0 0 0 0 1 0
"Abhishek Aich" 0 0 1 0 0 0
"Abhishek Anand" 0 0 0 0 1 0
"Abhishek B. Sharma" 0 0 0 1 0 0
"Abhishek Badki" 0 0 2 0 0 0
"Abhishek Bafna" 1 0 0 0 0 0
"Abhishek Balaji Radhakrishnan" 0 0 0 1 0 0
"Abhishek Bansal" 0 0 0 0 1 0
"Abhishek Bhowmick 0001" 0 0 0 0 0 2
"Abhishek Das" 0 0 5 1 2 0
"Abhishek Dixit" 0 0 0 1 0 0
"Abhishek Dwaraki" 0 0 0 1 0 0
"Abhishek Ghose" 0 0 0 1 0 0
"Abhishek Goel" 0 0 1 0 0 0
"Abhishek Goswami" 1 0 0 0 0 0
"Abhishek Gupta" 5 0 0 0 0 0
"Abhishek Gupta 0004" 0 0 0 0 6 0
"Abhishek Jain 0002" 0 0 0 0 0 5
"Abhishek Jindal" 0 0 0 1 0 0
"Abhishek Kar" 0 0 3 0 1 0
"Abhishek Kashyap" 0 0 0 3 0 0
"Abhishek Khanna" 0 0 0 0 1 0
"Abhishek Kolagunda" 0 0 4 0 0 0
"Abhishek Kumar" 1 0 1 0 1 0
"Abhishek Kumar 0001" 0 0 6 0 10 0
"Abhishek Kumar 0003" 0 0 0 6 0 0
"Abhishek Kumar Dubey" 0 0 0 1 0 0
"Abhishek Mishra" 0 0 0 1 0 0
"Abhishek Mukherji" 0 1 0 0 0 0
"Abhishek Nagar" 0 0 2 0 0 0
"Abhishek Nayani" 0 0 1 0 0 0
"Abhishek Nigam" 0 1 0 0 0 0
"Abhishek P. Surana" 1 0 0 0 0 0
"Abhishek Pani" 2 0 0 0 0 0
"Abhishek Pathak" 0 0 0 0 1 0
"Abhishek Pratap Singh" 1 0 0 0 0 0
"Abhishek Rajkumar Sethi" 0 0 0 1 0 0
"Abhishek Rathod" 0 0 0 0 0 1
"Abhishek Roy" 0 1 0 0 0 0
"Abhishek Roy 0001" 0 0 0 1 0 0
"Abhishek Roy 0005" 0 0 0 1 1 0
"Abhishek Samanta" 0 0 0 0 0 1
"Abhishek Santra" 1 0 0 0 0 0
"Abhishek Saxena" 1 0 0 0 0 0
"Abhishek Sharma" 0 0 3 1 2 0
"Abhishek Sharma 0001" 0 0 6 0 1 0
"Abhishek Shetty" 0 0 0 0 2 1
"Abhishek Singh" 3 0 0 0 0 0
"Abhishek Singh 0002" 0 0 2 0 0 0
"Abhishek Singh 0005" 1 0 0 0 0 0
"Abhishek Sinha" 0 0 1 4 0 0
Abhishta 0 0 0 1 0 0
"Abhradeep Guha Thakurta" 1 0 0 0 5 0
"Abhradeep Thakurta" 2 1 0 0 6 5
"Abhratanu Dutta" 0 0 0 0 2 0
"Abi Komanduru" 0 0 0 0 1 0
"Abid Abrar" 0 0 1 0 0 0
"Abigail Doyle" 0 0 0 0 1 0
"Abigail Katoff" 0 0 0 0 1 0
"Abigail Paradise" 1 0 0 0 0 0
"Abigale J. Stangl" 0 0 1 0 0 0
"Abigale Stangl" 0 0 1 0 0 0
"Abir Das" 0 0 2 0 0 0
"Abir De" 6 0 0 2 2 0
"Abishek Gopalan" 0 0 0 1 0 0
"Abishek Sankararaman" 0 0 0 1 0 1
"Ablimit Aji" 0 2 0 0 0 0
"Abner Guzmn-Rivera" 0 0 1 0 1 0
"Abner Mendoza" 1 0 0 1 0 0
"Abner Turkieltaub" 0 0 0 0 0 1
"Abolfazl Asudeh" 0 7 0 0 0 0
"Abolfazl Razi" 0 0 0 1 1 0
"Abraham Bagherjeiran" 6 0 0 0 0 0
"Abraham Bernstein" 10 1 0 0 0 0
"Abraham D. Flaxman" 2 0 0 0 0 2
"Abraham Flaxman" 0 0 0 1 0 4
"Abraham Heifets" 2 0 0 0 0 0
"Abraham Israeli" 0 1 0 0 0 0
"Abraham Kandel" 2 0 0 0 0 0
"Abraham Miller" 1 0 0 0 0 0
"Abraham P. Punnen" 0 0 0 0 0 1
"Abraham Sebastian" 0 1 0 0 0 0
"Abraham Silberschatz" 0 7 0 5 0 0
"Abraham Traor" 0 0 0 0 1 0
"Abraham Yaar" 0 0 0 1 0 0
"Abram L. Friesen" 0 0 0 0 5 0
"Abram N. Magner" 1 0 0 0 0 0
"Abrao Guimares" 1 0 0 0 0 0
"Abrar H. Abdulnabi" 0 0 1 0 0 0
"Abtin Keshavarzian" 0 0 0 4 0 0
"Abubakar Abid" 0 0 0 0 2 0
"Abubakr O. Al-Abbasi" 0 0 0 2 0 0
"Abulfazl Jalaly" 0 0 0 1 0 0
"Abusayeed Saifullah" 0 0 0 1 0 0
"Acar Tamersoy" 3 1 0 0 0 0
"Achal Dave" 0 0 1 0 1 0
"Achi Brandt" 0 0 5 0 0 0
"Achille Aknin" 1 0 0 0 0 0
"Achille Fokoue" 3 1 0 0 0 0
"Achille Nazaret" 0 0 0 0 1 0
"Achille Pattavina" 0 0 0 9 0 0
"Achille Salan" 0 0 0 1 0 0
"Achilleas Psyllidis" 3 0 0 0 0 0
"Achim Blumensath" 0 0 0 0 0 2
"Achim Passen" 0 0 0 0 0 1
"Achim Pick" 0 1 0 0 0 0
"Achim Rettinger" 5 0 0 0 0 0
"Achint Oommen Thomas" 1 0 0 0 0 0
"Achint Thomas" 3 0 0 0 0 0
"Achintya Kundu" 0 0 0 0 1 0
"Achir Kalra" 3 0 0 0 0 0
"Achiya Bar-On" 0 0 0 0 0 1
"Achla Marathe" 2 0 0 0 0 0
"Achmadnoer Sukma Wicaksana" 0 0 1 0 0 0
"Achour Mostfaoui" 1 0 0 0 0 1
"Achraf Bahamou" 0 0 0 0 2 0
"Achraf Chalabi" 1 0 0 0 0 0
"Achuta Kadambi" 0 0 4 0 0 0
"Acio S. R. Santos" 4 1 0 0 0 0
"Ad Feelders" 6 0 0 0 0 0
"Ada Gavrilovska" 0 0 0 2 0 0
"Ada Jimnez" 1 0 0 0 0 0
"Ada Wai-Chee Fu" 16 11 0 1 0 0
"Adair Kovac" 0 0 1 0 0 0
"Adalbert F. X. Wilhelm" 1 0 0 0 0 0
"Adam A. Margolin" 0 0 0 0 1 0
"Adam Anthony" 1 0 0 0 0 0
"Adam Arany" 0 0 0 0 1 0
"Adam Arvidsson" 1 0 0 0 0 0
"Adam Ashenfelter" 0 0 0 0 1 0
"Adam B. Yedidia" 0 0 2 0 1 0
"Adam Badawy" 3 0 0 0 0 0
"Adam Bargteil" 0 0 1 0 0 0
"Adam Barker" 1 0 0 0 0 0
"Adam Barth" 2 0 0 0 0 0
"Adam Bates 0001" 2 0 0 1 0 0
"Adam Batkin" 0 1 0 0 0 0
"Adam Bender" 0 0 0 4 0 0
"Adam Bene Watts" 0 0 0 0 0 1
"Adam Berenzweig" 0 0 0 0 1 0
"Adam Bielski" 0 0 2 0 1 0
"Adam Bloniarz" 0 0 0 0 1 0
"Adam Bosworth" 1 4 0 0 0 0
"Adam Bouland" 0 0 0 0 0 3
"Adam Breuer" 1 0 0 0 2 0
"Adam C. Champion" 0 0 0 7 0 0
"Adam C. Funnell" 0 0 0 1 0 0
"Adam Christopher Earle" 0 0 0 0 2 0
"Adam Coates" 0 0 0 0 11 0
"Adam Coy" 0 0 0 0 1 0
"Adam Craig Pocock" 0 0 0 0 1 0
"Adam D. Cobb" 1 0 0 0 0 0
"Adam D. Smith" 2 0 0 0 6 24
"Adam Davies" 1 0 0 0 0 0
"Adam Dickinson" 0 1 0 0 0 0
"Adam Drake" 0 0 0 0 1 0
"Adam Dziedzic" 0 2 0 0 1 0
"Adam Finkelstein" 1 0 2 0 0 0
"Adam Fleisher" 1 0 0 0 2 0
"Adam Foster" 0 0 0 0 1 0
"Adam Fourney" 5 0 0 0 0 0
"Adam Freilich" 0 0 0 0 0 1
"Adam Frisch" 0 1 0 0 0 0
"Adam G. Kirk" 0 0 2 0 0 0
"Adam Gaier" 0 0 0 0 1 0
"Adam Golinski" 0 0 0 0 2 0
"Adam Gorka" 0 0 0 0 1 0
"Adam Greenhalgh" 0 0 0 4 0 0
"Adam Groce" 0 0 0 0 0 2
"Adam Guetz" 0 0 0 0 0 1
"Adam H. Marblestone" 0 0 0 0 1 0
"Adam Henderson" 3 0 0 0 0 0
"Adam Hesterberg" 0 0 0 0 0 1
"Adam Hupp" 1 0 0 0 0 0
"Adam Ibrahim" 0 0 0 0 1 0
"Adam Isaac Juda" 1 0 0 0 0 0
"Adam J. Lee" 0 1 0 0 0 0
"Adam J. Oliner" 3 0 0 0 0 0
"Adam J. Storm" 0 4 0 0 0 1
"Adam Jatowt" 23 0 0 0 0 0
"Adam K. Usadi" 2 0 0 0 0 0
